AreaCode,Country,2004,2010,2015,2016,2017,2018,2019,Latitude,Longitude
32,Argentina,372,426,486,512,512,540,556,-38.4161,-63.6167
68,Bolivia,300,326,432,462,462,472,486,-16.2902,-63.5887
76,Brazil,1394,1546,1932,1946,1980,2000,2078,-14.235,-51.9253
84,Belize,134,184,234,236,234,248,262,17.1899,-88.4976
124,Canada,148,154,194,236,244,296,314,56.1304,-106.3468
152,Chile,246,290,364,392,394,434,440,-35.6751,-71.543
170,Colombia,1186,1362,1502,1654,1670,1702,1760,4.5709,-74.2973
188,Costa Rica,462,570,646,674,680,692,700,9.7489,-83.7534
192,Cuba,544,608,674,680,678,696,696,21.5218,-77.7812
218,Ecuador,4302,4510,4616,4706,4716,4736,4776,-1.8312,-78.1834
484,Mexico,1496,1886,2218,2304,2324,2426,2568,23.6345,-102.5528
591,Panama,620,694,746,762,766,774,790,8.538,-80.7821
840,United States of America,2286,2304,2598,2958,3026,3080,3200,37.0902,-95.7129
850,United States Virgin Islands,62,66,106,108,116,126,134,18.3358,-64.8963
862,Venezuela,438,540,624,640,656,670,690,6.4238,-66.5897
